driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Kyle Larson,4030,Chv,5,87,34,87.058,99.244,Hendrick Motorsports,False,False,7,32,green
Kyle Larson,4030,Chv,5,91,33,87.035,99.270,Hendrick Motorsports,False,False,7,32,green
Christopher Bell,4153,Tyt,20,77,3,86.891,99.435,Joe Gibbs Racing,False,False,19,1,green
Kyle Larson,4030,Chv,5,92,33,86.802,99.537,Hendrick Motorsports,False,False,7,32,green
Christopher Bell,4153,Tyt,20,60,2,86.687,99.669,Joe Gibbs Racing,False,False,19,1,green
Kyle Busch,454,Chv,8,60,1,86.617,99.749,Richard Childress Racing,False,False,8,5,green
Christopher Bell,4153,Tyt,20,75,3,86.588,99.783,Joe Gibbs Racing,False,False,19,1,green
Christopher Bell,4153,Tyt,20,74,3,86.524,99.857,Joe Gibbs Racing,False,False,19,1,green
Christopher Bell,4153,Tyt,20,76,3,86.519,99.863,Joe Gibbs Racing,False,False,19,1,green
Kyle Busch,454,Chv,8,57,1,86.513,99.869,Richard Childress Racing,False,False,8,5,green
Kyle Busch,454,Chv,8,73,2,86.486,99.900,Richard Childress Racing,False,False,8,5,green
Christopher Bell,4153,Tyt,20,57,2,86.474,99.914,Joe Gibbs Racing,False,False,19,1,green
Christopher Bell,4153,Tyt,20,56,2,86.462,99.928,Joe Gibbs Racing,False,False,19,1,green
William Byron,4184,Chv,24,73,3,86.446,99.947,Hendrick Motorsports,False,False,15,2,green
William Byron,4184,Chv,24,59,3,86.434,99.961,Hendrick Motorsports,False,False,15,2,green
Kyle Busch,454,Chv,8,59,1,86.419,99.978,Richard Childress Racing,False,False,8,5,green
Christopher Bell,4153,Tyt,20,73,4,86.405,99.994,Joe Gibbs Racing,False,False,19,1,green
Kyle Busch,454,Chv,8,56,1,86.392,100.009,Richard Childress Racing,False,False,8,5,green
Justin Haley,4172,Chv,7,71,16,86.375,100.029,Spire Motorsports,False,False,29,16,green
Christopher Bell,4153,Tyt,20,58,2,86.346,100.062,Joe Gibbs Racing,False,False,19,1,green
Tyler Reddick,4065,Tyt,45,75,5,86.339,100.071,23XI Racing,False,False,1,3,green
AJ Allmendinger,3774,Chv,16,72,7,86.335,100.075,Kaulig Racing,False,False,12,30,green
Tyler Reddick,4065,Tyt,45,57,8,86.329,100.082,23XI Racing,False,False,1,3,green
Shane Van Gisbergen,4469,Chv,88,76,7,86.315,100.099,Trackhouse Racing,False,False,6,6,green
Zane Smith,4272,Frd,38,70,33,86.296,100.121,Front Row Motorsports,False,False,20,29,green
Tyler Reddick,4065,Tyt,45,72,8,86.294,100.123,23XI Racing,False,False,1,3,green
William Byron,4184,Chv,24,72,3,86.291,100.126,Hendrick Motorsports,False,False,15,2,green
Kyle Busch,454,Chv,8,71,3,86.285,100.133,Richard Childress Racing,False,False,8,5,green
Kyle Busch,454,Chv,8,30,1,86.273,100.147,Richard Childress Racing,False,False,8,5,green
Shane Van Gisbergen,4469,Chv,88,29,2,86.272,100.148,Trackhouse Racing,False,False,6,6,green
AJ Allmendinger,3774,Chv,16,56,5,86.270,100.151,Kaulig Racing,False,False,12,30,green
William Byron,4184,Chv,24,85,3,86.266,100.155,Hendrick Motorsports,False,False,15,2,green
Chris Buescher,3989,Frd,17,71,19,86.264,100.158,RFK Racing,False,False,24,7,green
Kyle Busch,454,Chv,8,3,4,86.259,100.164,Richard Childress Racing,False,False,8,5,green
Connor Zilisch,4481,Chv,87,3,37,86.253,100.170,Trackhouse Racing,False,True,14,37,green
AJ Allmendinger,3774,Chv,16,59,5,86.253,100.170,Kaulig Racing,False,False,12,30,green
AJ Allmendinger,3774,Chv,16,75,4,86.234,100.192,Kaulig Racing,False,False,12,30,green
AJ Allmendinger,3774,Chv,16,28,5,86.234,100.192,Kaulig Racing,False,False,12,30,green
Tyler Reddick,4065,Tyt,45,71,10,86.217,100.212,23XI Racing,False,False,1,3,green
Shane Van Gisbergen,4469,Chv,88,56,6,86.200,100.232,Trackhouse Racing,False,False,6,6,green
Shane Van Gisbergen,4469,Chv,88,3,3,86.197,100.236,Trackhouse Racing,False,False,6,6,green
Kyle Busch,454,Chv,8,76,1,86.195,100.238,Richard Childress Racing,False,False,8,5,green
Kyle Busch,454,Chv,8,58,1,86.195,100.238,Richard Childress Racing,False,False,8,5,green
William Byron,4184,Chv,24,75,2,86.189,100.245,Hendrick Motorsports,False,False,15,2,green
Kyle Larson,4030,Chv,5,29,8,86.189,100.245,Hendrick Motorsports,False,False,7,32,green
Kyle Busch,454,Chv,8,72,2,86.176,100.260,Richard Childress Racing,False,False,8,5,green
Ryan Preece,4070,Frd,60,74,15,86.173,100.264,RFK Racing,False,False,28,33,green
Shane Van Gisbergen,4469,Chv,88,57,6,86.171,100.266,Trackhouse Racing,False,False,6,6,green
Kyle Busch,454,Chv,8,74,1,86.163,100.275,Richard Childress Racing,False,False,8,5,green
Tyler Reddick,4065,Tyt,45,86,4,86.157,100.282,23XI Racing,False,False,1,3,green
William Byron,4184,Chv,24,70,7,86.148,100.292,Hendrick Motorsports,False,False,15,2,green
Kyle Busch,454,Chv,8,29,1,86.140,100.302,Richard Childress Racing,False,False,8,5,green
Kyle Busch,454,Chv,8,84,1,86.132,100.311,Richard Childress Racing,False,False,8,5,green
Chris Buescher,3989,Frd,17,88,15,86.121,100.324,RFK Racing,False,False,24,7,green
Bubba Wallace,4025,Tyt,23,3,2,86.117,100.329,23XI Racing,False,False,2,20,green
Chase Elliott,4062,Chv,9,28,36,86.114,100.332,Hendrick Motorsports,False,False,3,4,green
Christopher Bell,4153,Tyt,20,86,2,86.114,100.332,Joe Gibbs Racing,False,False,19,1,green
Chase Briscoe,4228,Tyt,19,59,4,86.113,100.333,Joe Gibbs Racing,False,False,18,14,green
William Byron,4184,Chv,24,56,4,86.106,100.341,Hendrick Motorsports,False,False,15,2,green
Tyler Reddick,4065,Tyt,45,76,5,86.106,100.342,23XI Racing,False,False,1,3,green
Kyle Busch,454,Chv,8,77,1,86.104,100.344,Richard Childress Racing,False,False,8,5,green
Shane Van Gisbergen,4469,Chv,88,31,2,86.104,100.344,Trackhouse Racing,False,False,6,6,green
Ross Chastain,4001,Chv,1,71,13,86.099,100.350,Trackhouse Racing,False,False,9,12,green
Kyle Busch,454,Chv,8,75,1,86.096,100.353,Richard Childress Racing,False,False,8,5,green
Christopher Bell,4153,Tyt,20,59,2,86.095,100.354,Joe Gibbs Racing,False,False,19,1,green
Tyler Reddick,4065,Tyt,45,58,8,86.094,100.356,23XI Racing,False,False,1,3,green
William Byron,4184,Chv,24,58,3,86.090,100.360,Hendrick Motorsports,False,False,15,2,green
William Byron,4184,Chv,24,76,2,86.084,100.367,Hendrick Motorsports,False,False,15,2,green
Riley Herbst,4269,Tyt,35,74,22,86.082,100.369,23XI Racing,False,False,31,17,green
Cole Custer,4104,Frd,41,63,34,86.081,100.371,Haas Factory Team,False,False,30,23,green
Michael McDowell,3832,Chv,71,86,20,86.081,100.370,Spire Motorsports,False,False,16,11,green
William Byron,4184,Chv,24,71,5,86.076,100.376,Hendrick Motorsports,False,False,15,2,green
William Byron,4184,Chv,24,86,3,86.075,100.377,Hendrick Motorsports,False,False,15,2,green
Shane Van Gisbergen,4469,Chv,88,32,2,86.073,100.380,Trackhouse Racing,False,False,6,6,green
Kyle Busch,454,Chv,8,62,1,86.072,100.381,Richard Childress Racing,False,False,8,5,green
Kyle Busch,454,Chv,8,28,1,86.070,100.383,Richard Childress Racing,False,False,8,5,green
AJ Allmendinger,3774,Chv,16,61,5,86.068,100.386,Kaulig Racing,False,False,12,30,green
Tyler Reddick,4065,Tyt,45,30,3,86.063,100.391,23XI Racing,False,False,1,3,green
Daniel Suarez,4113,Chv,99,29,6,86.057,100.399,Trackhouse Racing,False,False,5,36,green
Chris Buescher,3989,Frd,17,77,11,86.057,100.398,RFK Racing,False,False,24,7,green
Kyle Busch,454,Chv,8,85,1,86.057,100.398,Richard Childress Racing,False,False,8,5,green
William Byron,4184,Chv,24,63,3,86.045,100.412,Hendrick Motorsports,False,False,15,2,green
William Byron,4184,Chv,24,57,3,86.045,100.413,Hendrick Motorsports,False,False,15,2,green
Tyler Reddick,4065,Tyt,45,85,5,86.043,100.415,23XI Racing,False,False,1,3,green
Chris Buescher,3989,Frd,17,75,12,86.043,100.415,RFK Racing,False,False,24,7,green
Ross Chastain,4001,Chv,1,57,7,86.040,100.418,Trackhouse Racing,False,False,9,12,green
Shane Van Gisbergen,4469,Chv,88,77,6,86.039,100.420,Trackhouse Racing,False,False,6,6,green
Christopher Bell,4153,Tyt,20,85,2,86.039,100.419,Joe Gibbs Racing,False,False,19,1,green
Chase Briscoe,4228,Tyt,19,72,9,86.039,100.420,Joe Gibbs Racing,False,False,18,14,green
Tyler Reddick,4065,Tyt,45,3,1,86.035,100.424,23XI Racing,False,False,1,3,green
Kyle Busch,454,Chv,8,61,1,86.034,100.425,Richard Childress Racing,False,False,8,5,green
AJ Allmendinger,3774,Chv,16,29,5,86.033,100.427,Kaulig Racing,False,False,12,30,green
AJ Allmendinger,3774,Chv,16,76,4,86.031,100.429,Kaulig Racing,False,False,12,30,green
Shane Van Gisbergen,4469,Chv,88,30,2,86.028,100.432,Trackhouse Racing,False,False,6,6,green
Ryan Blaney,4023,Frd,12,77,10,86.025,100.436,Team Penske,False,False,25,19,green
Noah Gragson,4224,Frd,4,74,20,86.024,100.437,Front Row Motorsports,False,False,17,8,green
Chase Briscoe,4228,Tyt,19,71,12,86.023,100.438,Joe Gibbs Racing,False,False,18,14,green
Christopher Bell,4153,Tyt,20,84,2,86.022,100.439,Joe Gibbs Racing,False,False,19,1,green
Chase Elliott,4062,Chv,9,71,21,86.020,100.442,Hendrick Motorsports,False,False,3,4,green
Chris Buescher,3989,Frd,17,70,21,86.019,100.443,RFK Racing,False,False,24,7,green
Ross Chastain,4001,Chv,1,56,7,86.013,100.450,Trackhouse Racing,False,False,9,12,green
Tyler Reddick,4065,Tyt,45,77,5,86.013,100.450,23XI Racing,False,False,1,3,green
Christopher Bell,4153,Tyt,20,61,2,86.010,100.453,Joe Gibbs Racing,False,False,19,1,green
William Byron,4184,Chv,24,28,4,86.005,100.459,Hendrick Motorsports,False,False,15,2,green
Shane Van Gisbergen,4469,Chv,88,59,6,86.004,100.461,Trackhouse Racing,False,False,6,6,green
Chris Buescher,3989,Frd,17,72,16,86.001,100.464,RFK Racing,False,False,24,7,green
Kyle Busch,454,Chv,8,27,1,86.000,100.465,Richard Childress Racing,False,False,8,5,green
Riley Herbst,4269,Tyt,35,69,30,85.990,100.477,23XI Racing,False,False,31,17,green
Shane Van Gisbergen,4469,Chv,88,2,3,85.989,100.478,Trackhouse Racing,False,False,6,6,green
Kyle Busch,454,Chv,8,86,1,85.981,100.487,Richard Childress Racing,False,False,8,5,green
Tyler Reddick,4065,Tyt,45,61,7,85.980,100.488,23XI Racing,False,False,1,3,green
Tyler Reddick,4065,Tyt,45,87,4,85.974,100.495,23XI Racing,False,False,1,3,green
Kyle Larson,4030,Chv,5,30,8,85.974,100.495,Hendrick Motorsports,False,False,7,32,green
Tyler Reddick,4065,Tyt,45,74,6,85.972,100.498,23XI Racing,False,False,1,3,green
Shane Van Gisbergen,4469,Chv,88,86,10,85.967,100.504,Trackhouse Racing,False,False,6,6,green
Riley Herbst,4269,Tyt,35,71,27,85.966,100.505,23XI Racing,False,False,31,17,green
William Byron,4184,Chv,24,77,2,85.964,100.507,Hendrick Motorsports,False,False,15,2,green
Shane Van Gisbergen,4469,Chv,88,33,2,85.962,100.510,Trackhouse Racing,False,False,6,6,green
Bubba Wallace,4025,Tyt,23,71,23,85.961,100.511,23XI Racing,False,False,2,20,green
Christopher Bell,4153,Tyt,20,63,2,85.956,100.517,Joe Gibbs Racing,False,False,19,1,green
Christopher Bell,4153,Tyt,20,29,9,85.955,100.518,Joe Gibbs Racing,False,False,19,1,green
AJ Allmendinger,3774,Chv,16,32,4,85.950,100.524,Kaulig Racing,False,False,12,30,green
William Byron,4184,Chv,24,29,4,85.947,100.527,Hendrick Motorsports,False,False,15,2,green
William Byron,4184,Chv,24,60,3,85.945,100.529,Hendrick Motorsports,False,False,15,2,green
Chase Elliott,4062,Chv,9,27,36,85.945,100.529,Hendrick Motorsports,False,False,3,4,green
Tyler Reddick,4065,Tyt,45,73,8,85.944,100.531,23XI Racing,False,False,1,3,green
Ryan Blaney,4023,Frd,12,75,11,85.944,100.530,Team Penske,False,False,25,19,green
Kyle Larson,4030,Chv,5,74,35,85.940,100.535,Hendrick Motorsports,False,False,7,32,green
Daniel Suarez,4113,Chv,99,3,5,85.939,100.536,Trackhouse Racing,False,False,5,36,green
Kyle Busch,454,Chv,8,31,1,85.934,100.542,Richard Childress Racing,False,False,8,5,green
Christopher Bell,4153,Tyt,20,88,2,85.930,100.547,Joe Gibbs Racing,False,False,19,1,green
Ryan Blaney,4023,Frd,12,74,12,85.929,100.548,Team Penske,False,False,25,19,green
Chase Briscoe,4228,Tyt,19,56,3,85.921,100.557,Joe Gibbs Racing,False,False,18,14,green
Kyle Busch,454,Chv,8,2,4,85.919,100.560,Richard Childress Racing,False,False,8,5,green
William Byron,4184,Chv,24,64,3,85.915,100.564,Hendrick Motorsports,False,False,15,2,green
William Byron,4184,Chv,24,84,3,85.912,100.568,Hendrick Motorsports,False,False,15,2,green
AJ Allmendinger,3774,Chv,16,31,4,85.903,100.579,Kaulig Racing,False,False,12,30,green
Todd Gilliland,4231,Frd,34,77,27,85.903,100.579,Front Row Motorsports,False,False,10,10,green
Kyle Larson,4030,Chv,5,93,33,85.900,100.582,Hendrick Motorsports,False,False,7,32,green
Chase Briscoe,4228,Tyt,19,61,4,85.897,100.586,Joe Gibbs Racing,False,False,18,14,green
Noah Gragson,4224,Frd,4,71,26,85.897,100.586,Front Row Motorsports,False,False,17,8,green
Tyler Reddick,4065,Tyt,45,29,3,85.893,100.590,23XI Racing,False,False,1,3,green
Justin Haley,4172,Chv,7,72,14,85.892,100.592,Spire Motorsports,False,False,29,16,green
Christopher Bell,4153,Tyt,20,62,2,85.886,100.599,Joe Gibbs Racing,False,False,19,1,green
Cole Custer,4104,Frd,41,69,34,85.885,100.600,Haas Factory Team,False,False,30,23,green
Daniel Suarez,4113,Chv,99,45,10,85.885,100.600,Trackhouse Racing,False,False,5,36,green
Kyle Busch,454,Chv,8,32,1,85.883,100.602,Richard Childress Racing,False,False,8,5,green
William Byron,4184,Chv,24,61,3,85.880,100.606,Hendrick Motorsports,False,False,15,2,green
Tyler Reddick,4065,Tyt,45,70,13,85.879,100.607,23XI Racing,False,False,1,3,green
Tyler Reddick,4065,Tyt,45,4,1,85.873,100.614,23XI Racing,False,False,1,3,green
Joey Logano,3859,Frd,22,74,19,85.872,100.615,Team Penske,False,False,23,24,green
Ross Chastain,4001,Chv,1,85,9,85.871,100.616,Trackhouse Racing,False,False,9,12,green
Chase Briscoe,4228,Tyt,19,29,7,85.870,100.617,Joe Gibbs Racing,False,False,18,14,green
Shane Van Gisbergen,4469,Chv,88,60,6,85.869,100.618,Trackhouse Racing,False,False,6,6,green
Ross Chastain,4001,Chv,1,72,10,85.867,100.621,Trackhouse Racing,False,False,9,12,green
Chase Briscoe,4228,Tyt,19,75,6,85.867,100.621,Joe Gibbs Racing,False,False,18,14,green
Chase Elliott,4062,Chv,9,73,17,85.861,100.628,Hendrick Motorsports,False,False,3,4,green
Tyler Reddick,4065,Tyt,45,2,1,85.859,100.630,23XI Racing,False,False,1,3,green
Chase Elliott,4062,Chv,9,69,26,85.858,100.631,Hendrick Motorsports,False,False,3,4,green
William Byron,4184,Chv,24,62,3,85.857,100.632,Hendrick Motorsports,False,False,15,2,green
Kyle Busch,454,Chv,8,63,1,85.856,100.634,Richard Childress Racing,False,False,8,5,green
Riley Herbst,4269,Tyt,35,68,32,85.856,100.634,23XI Racing,False,False,31,17,green
Bubba Wallace,4025,Tyt,23,2,2,85.855,100.635,23XI Racing,False,False,2,20,green
Chase Elliott,4062,Chv,9,74,16,85.855,100.635,Hendrick Motorsports,False,False,3,4,green
Cole Custer,4104,Frd,41,90,26,85.855,100.635,Haas Factory Team,False,False,30,23,green
Shane Van Gisbergen,4469,Chv,88,28,2,85.853,100.637,Trackhouse Racing,False,False,6,6,green
Ryan Preece,4070,Frd,60,71,20,85.851,100.639,RFK Racing,False,False,28,33,green
Carson Hocevar,4326,Chv,77,74,23,85.850,100.641,Spire Motorsports,False,False,4,13,green
Ross Chastain,4001,Chv,1,86,9,85.850,100.641,Trackhouse Racing,False,False,9,12,green
Tyler Reddick,4065,Tyt,45,84,5,85.850,100.641,23XI Racing,False,False,1,3,green
Chris Buescher,3989,Frd,17,74,13,85.850,100.641,RFK Racing,False,False,24,7,green
William Byron,4184,Chv,24,31,5,85.845,100.646,Hendrick Motorsports,False,False,15,2,green
AJ Allmendinger,3774,Chv,16,30,4,85.835,100.658,Kaulig Racing,False,False,12,30,green
Justin Haley,4172,Chv,7,74,10,85.829,100.665,Spire Motorsports,False,False,29,16,green
Cole Custer,4104,Frd,41,74,33,85.826,100.669,Haas Factory Team,False,False,30,23,green
Ross Chastain,4001,Chv,1,43,22,85.824,100.671,Trackhouse Racing,False,False,9,12,green
Chase Briscoe,4228,Tyt,19,76,6,85.817,100.679,Joe Gibbs Racing,False,False,18,14,green
Zane Smith,4272,Frd,38,69,33,85.815,100.682,Front Row Motorsports,False,False,20,29,green
William Byron,4184,Chv,24,4,8,85.814,100.683,Hendrick Motorsports,False,False,15,2,green
Christopher Bell,4153,Tyt,20,3,15,85.814,100.683,Joe Gibbs Racing,False,False,19,1,green
Connor Zilisch,4481,Chv,87,4,36,85.811,100.686,Trackhouse Racing,False,True,14,37,green
Chase Briscoe,4228,Tyt,19,30,7,85.810,100.688,Joe Gibbs Racing,False,False,18,14,green
Christopher Bell,4153,Tyt,20,64,2,85.808,100.690,Joe Gibbs Racing,False,False,19,1,green
Christopher Bell,4153,Tyt,20,30,9,85.800,100.699,Joe Gibbs Racing,False,False,19,1,green
Ryan Blaney,4023,Frd,12,76,10,85.799,100.700,Team Penske,False,False,25,19,green
Ty Gibbs,4368,Tyt,54,72,26,85.799,100.701,Joe Gibbs Racing,False,False,13,34,green
Chase Elliott,4062,Chv,9,29,36,85.795,100.705,Hendrick Motorsports,False,False,3,4,green
Chase Briscoe,4228,Tyt,19,70,14,85.792,100.709,Joe Gibbs Racing,False,False,18,14,green
Justin Haley,4172,Chv,7,76,9,85.790,100.711,Spire Motorsports,False,False,29,16,green
William Byron,4184,Chv,24,74,2,85.787,100.715,Hendrick Motorsports,False,False,15,2,green
Carson Hocevar,4326,Chv,77,70,30,85.784,100.718,Spire Motorsports,False,False,4,13,green
Tyler Reddick,4065,Tyt,45,31,3,85.784,100.718,23XI Racing,False,False,1,3,green
Bubba Wallace,4025,Tyt,23,74,17,85.780,100.723,23XI Racing,False,False,2,20,green
Alex Bowman,4045,Chv,48,5,11,85.775,100.729,Hendrick Motorsports,False,False,21,9,green
Tyler Reddick,4065,Tyt,45,28,3,85.771,100.733,23XI Racing,False,False,1,3,green
Connor Zilisch,4481,Chv,87,5,36,85.769,100.736,Trackhouse Racing,False,True,14,37,green
Chase Elliott,4062,Chv,9,85,11,85.765,100.740,Hendrick Motorsports,False,False,3,4,green
Shane Van Gisbergen,4469,Chv,88,66,5,85.765,100.740,Trackhouse Racing,False,False,6,6,green
Kyle Larson,4030,Chv,5,60,35,85.764,100.742,Hendrick Motorsports,False,False,7,32,green
Riley Herbst,4269,Tyt,35,76,18,85.763,100.743,23XI Racing,False,False,31,17,green
Daniel Suarez,4113,Chv,99,4,5,85.763,100.743,Trackhouse Racing,False,False,5,36,green
William Byron,4184,Chv,24,3,8,85.760,100.746,Hendrick Motorsports,False,False,15,2,green
Daniel Suarez,4113,Chv,99,33,6,85.759,100.747,Trackhouse Racing,False,False,5,36,green
Tyler Reddick,4065,Tyt,45,60,8,85.759,100.748,23XI Racing,False,False,1,3,green
Kyle Busch,454,Chv,8,5,4,85.759,100.748,Richard Childress Racing,False,False,8,5,green
Tyler Reddick,4065,Tyt,45,59,8,85.758,100.749,23XI Racing,False,False,1,3,green
Chase Elliott,4062,Chv,9,87,12,85.754,100.753,Hendrick Motorsports,False,False,3,4,green
Daniel Suarez,4113,Chv,99,32,6,85.750,100.758,Trackhouse Racing,False,False,5,36,green
Alex Bowman,4045,Chv,48,30,10,85.748,100.760,Hendrick Motorsports,False,False,21,9,green
Connor Zilisch,4481,Chv,87,30,21,85.747,100.762,Trackhouse Racing,False,True,14,37,green
Cole Custer,4104,Frd,41,64,34,85.742,100.768,Haas Factory Team,False,False,30,23,green
Chase Briscoe,4228,Tyt,19,60,4,85.741,100.769,Joe Gibbs Racing,False,False,18,14,green
William Byron,4184,Chv,24,32,5,85.739,100.771,Hendrick Motorsports,False,False,15,2,green
Brad Keselowski,1816,Frd,6,86,19,85.738,100.772,RFK Racing,False,False,26,15,green
Justin Haley,4172,Chv,7,77,9,85.738,100.772,Spire Motorsports,False,False,29,16,green
Shane Van Gisbergen,4469,Chv,88,4,3,85.738,100.772,Trackhouse Racing,False,False,6,6,green
AJ Allmendinger,3774,Chv,16,77,4,85.730,100.781,Kaulig Racing,False,False,12,30,green
William Byron,4184,Chv,24,88,3,85.724,100.788,Hendrick Motorsports,False,False,15,2,green
Chase Briscoe,4228,Tyt,19,58,4,85.721,100.792,Joe Gibbs Racing,False,False,18,14,green
Austin Dillon,3873,Chv,3,70,32,85.719,100.795,Richard Childress Racing,False,False,27,35,green
Chase Briscoe,4228,Tyt,19,19,11,85.718,100.796,Joe Gibbs Racing,False,False,18,14,green
Cole Custer,4104,Frd,41,70,34,85.717,100.797,Haas Factory Team,False,False,30,23,green
Brad Keselowski,1816,Frd,6,18,20,85.716,100.798,RFK Racing,False,False,26,15,green
Justin Haley,4172,Chv,7,75,9,85.716,100.798,Spire Motorsports,False,False,29,16,green
Tyler Reddick,4065,Tyt,45,88,4,85.716,100.798,23XI Racing,False,False,1,3,green
Chase Briscoe,4228,Tyt,19,73,9,85.713,100.801,Joe Gibbs Racing,False,False,18,14,green
Shane Van Gisbergen,4469,Chv,88,34,2,85.713,100.802,Trackhouse Racing,False,False,6,6,green
Zane Smith,4272,Frd,38,72,31,85.712,100.803,Front Row Motorsports,False,False,20,29,green
Bubba Wallace,4025,Tyt,23,69,27,85.709,100.806,23XI Racing,False,False,2,20,green
AJ Allmendinger,3774,Chv,16,74,5,85.707,100.808,Kaulig Racing,False,False,12,30,green
Austin Dillon,3873,Chv,3,76,20,85.707,100.809,Richard Childress Racing,False,False,27,35,green
AJ Allmendinger,3774,Chv,16,67,4,85.702,100.815,Kaulig Racing,False,False,12,30,green
Ryan Preece,4070,Frd,60,73,16,85.700,100.817,RFK Racing,False,False,28,33,green
Cole Custer,4104,Frd,41,75,33,85.700,100.817,Haas Factory Team,False,False,30,23,green
Denny Hamlin,1361,Tyt,11,77,21,85.699,100.818,Joe Gibbs Racing,False,False,11,21,green
John Hunter Nemechek,4092,Tyt,42,74,30,85.698,100.819,Legacy Motor Club,False,False,33,22,green
Kyle Larson,4030,Chv,5,61,35,85.696,100.822,Hendrick Motorsports,False,False,7,32,green
William Byron,4184,Chv,24,65,3,85.690,100.829,Hendrick Motorsports,False,False,15,2,green
Ryan Blaney,4023,Frd,12,58,12,85.690,100.829,Team Penske,False,False,25,19,green
Chase Briscoe,4228,Tyt,19,32,7,85.689,100.830,Joe Gibbs Racing,False,False,18,14,green
Ryan Preece,4070,Frd,60,77,12,85.687,100.832,RFK Racing,False,False,28,33,green
Kyle Larson,4030,Chv,5,86,34,85.685,100.834,Hendrick Motorsports,False,False,7,32,green
Chase Elliott,4062,Chv,9,94,5,85.684,100.836,Hendrick Motorsports,False,False,3,4,green
Alex Bowman,4045,Chv,48,57,34,85.684,100.836,Hendrick Motorsports,False,False,21,9,green
Alex Bowman,4045,Chv,48,4,11,85.679,100.842,Hendrick Motorsports,False,False,21,9,green
Bubba Wallace,4025,Tyt,23,76,14,85.679,100.842,23XI Racing,False,False,2,20,green
Justin Haley,4172,Chv,7,73,12,85.679,100.841,Spire Motorsports,False,False,29,16,green
AJ Allmendinger,3774,Chv,16,65,4,85.678,100.843,Kaulig Racing,False,False,12,30,green
Alex Bowman,4045,Chv,48,59,31,85.673,100.849,Hendrick Motorsports,False,False,21,9,green
Connor Zilisch,4481,Chv,87,31,20,85.664,100.859,Trackhouse Racing,False,True,14,37,green
Denny Hamlin,1361,Tyt,11,74,26,85.663,100.860,Joe Gibbs Racing,False,False,11,21,green
Michael McDowell,3832,Chv,71,69,29,85.660,100.864,Spire Motorsports,False,False,16,11,green
Austin Cindric,4180,Frd,2,72,4,85.660,100.864,Team Penske,False,False,36,25,green
Daniel Suarez,4113,Chv,99,28,6,85.660,100.864,Trackhouse Racing,False,False,5,36,green
Christopher Bell,4153,Tyt,20,45,9,85.658,100.866,Joe Gibbs Racing,False,False,19,1,green
Brad Keselowski,1816,Frd,6,74,18,85.656,100.869,RFK Racing,False,False,26,15,green
Chase Elliott,4062,Chv,9,26,36,85.655,100.870,Hendrick Motorsports,False,False,3,4,restart
Michael McDowell,3832,Chv,71,4,9,85.655,100.870,Spire Motorsports,False,False,16,11,green
Ty Dillon,4013,Chv,10,74,34,85.653,100.872,Kaulig Racing,False,False,34,28,green
Shane Van Gisbergen,4469,Chv,88,85,10,85.651,100.874,Trackhouse Racing,False,False,6,6,green
Kyle Busch,454,Chv,8,87,1,85.648,100.878,Richard Childress Racing,False,False,8,5,green
Cole Custer,4104,Frd,41,68,34,85.644,100.883,Haas Factory Team,False,False,30,23,green
AJ Allmendinger,3774,Chv,16,4,10,85.643,100.884,Kaulig Racing,False,False,12,30,green
Connor Zilisch,4481,Chv,87,9,36,85.643,100.884,Trackhouse Racing,False,True,14,37,green
Shane Van Gisbergen,4469,Chv,88,58,6,85.640,100.888,Trackhouse Racing,False,False,6,6,green
Carson Hocevar,4326,Chv,77,75,20,85.640,100.887,Spire Motorsports,False,False,4,13,green
Joey Logano,3859,Frd,22,85,8,85.639,100.889,Team Penske,False,False,23,24,green
Justin Haley,4172,Chv,7,58,9,85.638,100.890,Spire Motorsports,False,False,29,16,green
Todd Gilliland,4231,Frd,34,87,10,85.635,100.893,Front Row Motorsports,False,False,10,10,green
Zane Smith,4272,Frd,38,71,33,85.634,100.894,Front Row Motorsports,False,False,20,29,green
Joey Logano,3859,Frd,22,71,25,85.634,100.895,Team Penske,False,False,23,24,green
Ross Chastain,4001,Chv,1,74,9,85.630,100.899,Trackhouse Racing,False,False,9,12,green
Christopher Bell,4153,Tyt,20,31,9,85.629,100.900,Joe Gibbs Racing,False,False,19,1,green
Connor Zilisch,4481,Chv,87,10,36,85.628,100.901,Trackhouse Racing,False,True,14,37,green
Ryan Preece,4070,Frd,60,19,21,85.626,100.904,RFK Racing,False,False,28,33,green
Cole Custer,4104,Frd,41,71,34,85.625,100.905,Haas Factory Team,False,False,30,23,green
AJ Allmendinger,3774,Chv,16,34,3,85.624,100.906,Kaulig Racing,False,False,12,30,green
Carson Hocevar,4326,Chv,77,71,29,85.624,100.906,Spire Motorsports,False,False,4,13,green
AJ Allmendinger,3774,Chv,16,37,3,85.620,100.911,Kaulig Racing,False,False,12,30,green
AJ Allmendinger,3774,Chv,16,66,4,85.619,100.912,Kaulig Racing,False,False,12,30,green
Shane Van Gisbergen,4469,Chv,88,61,6,85.619,100.912,Trackhouse Racing,False,False,6,6,green
Chase Elliott,4062,Chv,9,75,14,85.618,100.913,Hendrick Motorsports,False,False,3,4,green
Chris Buescher,3989,Frd,17,64,15,85.612,100.920,RFK Racing,False,False,24,7,green
