driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Michael McDowell,3832,Chv,71,119,19,196.616,48.704,Spire Motorsports,False,False,1,17,green
Joey Logano,3859,Frd,22,193,16,195.884,48.886,Team Penske,True,False,16,16,pitting in
Michael McDowell,3832,Chv,71,193,17,195.760,48.917,Spire Motorsports,False,False,1,17,pitting in
Brad Keselowski,1816,Frd,6,193,10,195.393,49.009,RFK Racing,False,False,20,10,pitting in
Tyler Reddick,4065,Tyt,45,193,7,195.353,49.019,23XI Racing,False,False,15,7,pitting in
John Hunter Nemechek,4092,Tyt,42,193,14,195.249,49.045,Legacy Motor Club,False,False,28,14,pitting in
Chase Briscoe,4228,Tyt,19,193,1,195.225,49.051,Joe Gibbs Racing,True,False,2,1,green
Todd Gilliland,4231,Frd,34,193,2,195.221,49.052,Front Row Motorsports,False,False,27,2,pitting in
Denny Hamlin,1361,Tyt,11,119,24,195.134,49.074,Joe Gibbs Racing,True,False,17,24,green
Cole Custer,4104,Frd,41,193,5,195.066,49.091,Haas Factory Team,False,False,12,5,pitting in
Anthony Alfredo,4301,Chv,62,193,21,194.947,49.121,Beard Motorsports,False,True,38,21,pitting in
Ross Chastain,4001,Chv,1,193,13,194.888,49.136,Trackhouse Racing,False,False,24,13,pitting in
Ty Gibbs,4368,Tyt,54,193,3,194.856,49.144,Joe Gibbs Racing,False,False,18,3,pitting in
Casey Mears,2215,Frd,66,193,18,194.753,49.170,Garage 66,False,False,40,18,pitting in
Ross Chastain,4001,Chv,1,120,12,194.733,49.175,Trackhouse Racing,False,False,24,13,green
Ryan Preece,4070,Frd,60,193,15,194.670,49.191,RFK Racing,False,False,5,15,pitting in
Zane Smith,4272,Frd,38,193,9,194.559,49.219,Front Row Motorsports,False,False,23,9,pitting in
Ty Dillon,4013,Chv,10,193,20,194.523,49.228,Kaulig Racing,False,False,29,20,pitting in
Shane Van Gisbergen,4469,Chv,88,193,11,194.516,49.230,Trackhouse Racing,False,False,31,11,pitting in
Christopher Bell,4153,Tyt,20,47,26,194.496,49.235,Joe Gibbs Racing,True,False,7,8,green
Daniel Suarez,4113,Chv,99,193,12,194.472,49.241,Trackhouse Racing,False,False,26,12,pitting in
Justin Haley,4172,Chv,7,48,18,194.437,49.250,Spire Motorsports,False,False,22,39,green
Justin Haley,4172,Chv,7,47,27,194.429,49.252,Spire Motorsports,False,False,22,39,green
Ryan Preece,4070,Frd,60,184,16,194.397,49.260,RFK Racing,False,False,5,15,green
Christopher Bell,4153,Tyt,20,193,8,194.385,49.263,Joe Gibbs Racing,True,False,7,8,pitting in
Cody Ware,4125,Frd,51,47,28,194.373,49.266,Rick Ware Racing,False,False,35,31,green
Zane Smith,4272,Frd,38,184,7,194.350,49.272,Front Row Motorsports,False,False,23,9,green
William Byron,4184,Chv,24,184,2,194.350,49.272,Hendrick Motorsports,True,False,13,25,green
Carson Hocevar,4326,Chv,77,193,6,194.342,49.274,Spire Motorsports,False,False,32,6,pitting in
Ryan Blaney,4023,Frd,12,184,13,194.342,49.274,Team Penske,True,False,8,23,green
Ross Chastain,4001,Chv,1,184,9,194.302,49.284,Trackhouse Racing,False,False,24,13,green
Michael McDowell,3832,Chv,71,183,21,194.302,49.284,Spire Motorsports,False,False,1,17,green
Michael McDowell,3832,Chv,71,184,19,194.283,49.289,Spire Motorsports,False,False,1,17,green
Kyle Larson,4030,Chv,5,183,1,194.279,49.290,Hendrick Motorsports,True,False,19,26,green
Bubba Wallace,4025,Tyt,23,185,1,194.275,49.291,23XI Racing,False,False,10,4,green
Todd Gilliland,4231,Frd,34,184,4,194.255,49.296,Front Row Motorsports,False,False,27,2,green
Christopher Bell,4153,Tyt,20,183,5,194.247,49.298,Joe Gibbs Racing,True,False,7,8,green
Cody Ware,4125,Frd,51,48,20,194.235,49.301,Rick Ware Racing,False,False,35,31,green
Chase Briscoe,4228,Tyt,19,60,21,194.220,49.305,Joe Gibbs Racing,True,False,2,1,green
Bubba Wallace,4025,Tyt,23,193,4,194.208,49.308,23XI Racing,False,False,10,4,pitting in
Chase Briscoe,4228,Tyt,19,184,1,194.192,49.312,Joe Gibbs Racing,True,False,2,1,green
Tyler Reddick,4065,Tyt,45,183,9,194.145,49.324,23XI Racing,False,False,15,7,green
Cole Custer,4104,Frd,41,183,12,194.145,49.324,Haas Factory Team,False,False,12,5,green
Bubba Wallace,4025,Tyt,23,183,3,194.141,49.325,23XI Racing,False,False,10,4,green
Ryan Preece,4070,Frd,60,183,20,194.133,49.327,RFK Racing,False,False,5,15,green
Brad Keselowski,1816,Frd,6,184,24,194.129,49.328,RFK Racing,False,False,20,10,green
Tyler Reddick,4065,Tyt,45,120,11,194.117,49.331,23XI Racing,False,False,15,7,green
Kyle Busch,454,Chv,8,183,15,194.117,49.331,Richard Childress Racing,False,False,3,19,green
Joey Logano,3859,Frd,22,184,25,194.074,49.342,Team Penske,True,False,16,16,green
Casey Mears,2215,Frd,66,183,18,193.980,49.366,Garage 66,False,False,40,18,green
Chase Briscoe,4228,Tyt,19,120,1,193.964,49.370,Joe Gibbs Racing,True,False,2,1,green
Joey Logano,3859,Frd,22,185,22,193.960,49.371,Team Penske,True,False,16,16,green
Todd Gilliland,4231,Frd,34,183,8,193.956,49.372,Front Row Motorsports,False,False,27,2,green
Ty Dillon,4013,Chv,10,183,23,193.956,49.372,Kaulig Racing,False,False,29,20,green
John Hunter Nemechek,4092,Tyt,42,184,22,193.948,49.374,Legacy Motor Club,False,False,28,14,green
Denny Hamlin,1361,Tyt,11,110,17,193.933,49.378,Joe Gibbs Racing,True,False,17,24,pitting in
Christopher Bell,4153,Tyt,20,48,19,193.929,49.379,Joe Gibbs Racing,True,False,7,8,green
John Hunter Nemechek,4092,Tyt,42,120,9,193.925,49.380,Legacy Motor Club,False,False,28,14,green
Carson Hocevar,4326,Chv,77,183,10,193.917,49.382,Spire Motorsports,False,False,32,6,green
Ty Dillon,4013,Chv,10,118,25,193.881,49.391,Kaulig Racing,False,False,29,20,green
Austin Hill,4133,Chv,33,183,7,193.874,49.393,Richard Childress Racing,False,True,33,22,green
Zane Smith,4272,Frd,38,183,11,193.866,49.395,Front Row Motorsports,False,False,23,9,green
Shane Van Gisbergen,4469,Chv,88,184,21,193.866,49.395,Trackhouse Racing,False,False,31,11,green
William Byron,4184,Chv,24,183,6,193.858,49.397,Hendrick Motorsports,True,False,13,25,green
Chris Buescher,3989,Frd,17,119,22,193.854,49.398,RFK Racing,False,False,14,30,green
Christopher Bell,4153,Tyt,20,185,6,193.854,49.398,Joe Gibbs Racing,True,False,7,8,green
Ross Chastain,4001,Chv,1,183,14,193.842,49.401,Trackhouse Racing,False,False,24,13,green
Kyle Busch,454,Chv,8,185,15,193.842,49.401,Richard Childress Racing,False,False,3,19,green
Ryan Blaney,4023,Frd,12,183,17,193.834,49.403,Team Penske,True,False,8,23,green
Anthony Alfredo,4301,Chv,62,119,16,193.830,49.404,Beard Motorsports,False,True,38,21,green
Chris Buescher,3989,Frd,17,183,4,193.827,49.405,RFK Racing,False,False,14,30,green
Tyler Reddick,4065,Tyt,45,185,8,193.823,49.406,23XI Racing,False,False,15,7,green
Cole Custer,4104,Frd,41,185,12,193.807,49.410,Haas Factory Team,False,False,12,5,green
Brad Keselowski,1816,Frd,6,183,24,193.795,49.413,RFK Racing,False,False,20,10,green
Casey Mears,2215,Frd,66,184,20,193.791,49.414,Garage 66,False,False,40,18,green
Brad Keselowski,1816,Frd,6,119,18,193.791,49.414,RFK Racing,False,False,20,10,green
Todd Gilliland,4231,Frd,34,120,6,193.776,49.418,Front Row Motorsports,False,False,27,2,green
Ty Gibbs,4368,Tyt,54,183,13,193.776,49.418,Joe Gibbs Racing,False,False,18,3,green
Daniel Suarez,4113,Chv,99,184,18,193.776,49.418,Trackhouse Racing,False,False,26,12,green
Ross Chastain,4001,Chv,1,119,20,193.764,49.421,Trackhouse Racing,False,False,24,13,green
Kyle Busch,454,Chv,8,120,13,193.760,49.422,Richard Childress Racing,False,False,3,19,green
Ty Dillon,4013,Chv,10,184,23,193.756,49.423,Kaulig Racing,False,False,29,20,green
Daniel Suarez,4113,Chv,99,183,16,193.752,49.424,Trackhouse Racing,False,False,26,12,green
Ty Gibbs,4368,Tyt,54,185,14,193.748,49.425,Joe Gibbs Racing,False,False,18,3,green
Michael McDowell,3832,Chv,71,120,15,193.740,49.427,Spire Motorsports,False,False,1,17,green
Carson Hocevar,4326,Chv,77,185,10,193.740,49.427,Spire Motorsports,False,False,32,6,green
Chase Briscoe,4228,Tyt,19,183,2,193.732,49.429,Joe Gibbs Racing,True,False,2,1,green
Daniel Suarez,4113,Chv,99,118,23,193.721,49.432,Trackhouse Racing,False,False,26,12,green
Ty Gibbs,4368,Tyt,54,184,15,193.717,49.433,Joe Gibbs Racing,False,False,18,3,green
Kyle Larson,4030,Chv,5,185,4,193.713,49.434,Hendrick Motorsports,True,False,19,26,green
Ty Dillon,4013,Chv,10,185,23,193.709,49.435,Kaulig Racing,False,False,29,20,green
Cole Custer,4104,Frd,41,184,14,193.705,49.436,Haas Factory Team,False,False,12,5,green
Kyle Busch,454,Chv,8,119,13,193.701,49.437,Richard Childress Racing,False,False,3,19,green
Carson Hocevar,4326,Chv,77,184,12,193.697,49.438,Spire Motorsports,False,False,32,6,green
Tyler Reddick,4065,Tyt,45,184,10,193.681,49.442,23XI Racing,False,False,15,7,green
Daniel Suarez,4113,Chv,99,181,20,193.681,49.442,Trackhouse Racing,False,False,26,12,green
Riley Herbst,4269,Tyt,35,120,14,193.678,49.443,23XI Racing,False,False,9,32,green
Daniel Suarez,4113,Chv,99,185,16,193.674,49.444,Trackhouse Racing,False,False,26,12,green
Casey Mears,2215,Frd,66,185,18,193.674,49.444,Garage 66,False,False,40,18,green
Shane Van Gisbergen,4469,Chv,88,183,19,193.670,49.445,Trackhouse Racing,False,False,31,11,green
Kyle Busch,454,Chv,8,184,17,193.666,49.446,Richard Childress Racing,False,False,3,19,green
Kyle Busch,454,Chv,8,60,20,193.666,49.446,Richard Childress Racing,False,False,3,19,green
William Byron,4184,Chv,24,185,2,193.642,49.452,Hendrick Motorsports,True,False,13,25,green
Austin Hill,4133,Chv,33,177,12,193.642,49.452,Richard Childress Racing,False,True,33,22,green
Casey Mears,2215,Frd,66,174,23,193.642,49.452,Garage 66,False,False,40,18,green
Zane Smith,4272,Frd,38,177,1,193.642,49.452,Front Row Motorsports,False,False,23,9,green
Alex Bowman,4045,Chv,48,120,10,193.634,49.454,Hendrick Motorsports,False,False,11,29,green
Shane Van Gisbergen,4469,Chv,88,185,19,193.634,49.454,Trackhouse Racing,False,False,31,11,green
Casey Mears,2215,Frd,66,177,14,193.615,49.459,Garage 66,False,False,40,18,green
Anthony Alfredo,4301,Chv,62,103,23,193.603,49.462,Beard Motorsports,False,True,38,21,green
Todd Gilliland,4231,Frd,34,185,5,193.591,49.465,Front Row Motorsports,False,False,27,2,green
Bubba Wallace,4025,Tyt,23,177,6,193.591,49.465,23XI Racing,False,False,10,4,green
John Hunter Nemechek,4092,Tyt,42,183,22,193.591,49.465,Legacy Motor Club,False,False,28,14,green
John Hunter Nemechek,4092,Tyt,42,185,21,193.591,49.465,Legacy Motor Club,False,False,28,14,green
Zane Smith,4272,Frd,38,185,7,193.576,49.469,Front Row Motorsports,False,False,23,9,green
Carson Hocevar,4326,Chv,77,177,9,193.568,49.471,Spire Motorsports,False,False,32,6,green
Ross Chastain,4001,Chv,1,177,3,193.556,49.474,Trackhouse Racing,False,False,24,13,green
Christopher Bell,4153,Tyt,20,184,8,193.541,49.478,Joe Gibbs Racing,True,False,7,8,green
Ryan Blaney,4023,Frd,12,185,13,193.525,49.482,Team Penske,True,False,8,23,green
Christopher Bell,4153,Tyt,20,120,5,193.517,49.484,Joe Gibbs Racing,True,False,7,8,green
Bubba Wallace,4025,Tyt,23,184,5,193.513,49.485,23XI Racing,False,False,10,4,green
Chris Buescher,3989,Frd,17,184,6,193.513,49.485,RFK Racing,False,False,14,30,green
Carson Hocevar,4326,Chv,77,120,3,193.505,49.487,Spire Motorsports,False,False,32,6,green
Austin Hill,4133,Chv,33,184,11,193.486,49.492,Richard Childress Racing,False,True,33,22,green
Ryan Preece,4070,Frd,60,185,17,193.486,49.492,RFK Racing,False,False,5,15,green
Ross Chastain,4001,Chv,1,185,11,193.470,49.496,Trackhouse Racing,False,False,24,13,green
Zane Smith,4272,Frd,38,118,17,193.447,49.502,Front Row Motorsports,False,False,23,9,green
Chris Buescher,3989,Frd,17,185,9,193.439,49.504,RFK Racing,False,False,14,30,green
Chase Elliott,4062,Chv,9,50,17,193.419,49.509,Hendrick Motorsports,True,False,25,40,green
Ryan Blaney,4023,Frd,12,120,7,193.408,49.512,Team Penske,True,False,8,23,green
Ty Gibbs,4368,Tyt,54,120,6,193.404,49.513,Joe Gibbs Racing,False,False,18,3,green
Zane Smith,4272,Frd,38,50,24,193.392,49.516,Front Row Motorsports,False,False,23,9,green
Brad Keselowski,1816,Frd,6,185,24,193.384,49.518,RFK Racing,False,False,20,10,green
Kyle Busch,454,Chv,8,193,19,193.384,49.518,Richard Childress Racing,False,False,3,19,pitting in
Michael McDowell,3832,Chv,71,185,20,193.373,49.521,Spire Motorsports,False,False,1,17,green
Kyle Larson,4030,Chv,5,184,3,193.373,49.521,Hendrick Motorsports,True,False,19,26,green
Kyle Larson,4030,Chv,5,120,2,193.357,49.525,Hendrick Motorsports,True,False,19,26,green
Carson Hocevar,4326,Chv,77,102,17,193.353,49.526,Spire Motorsports,False,False,32,6,green
Chase Briscoe,4228,Tyt,19,181,2,193.337,49.530,Joe Gibbs Racing,True,False,2,1,green
Austin Hill,4133,Chv,33,181,11,193.333,49.531,Richard Childress Racing,False,True,33,22,green
Cody Ware,4125,Frd,51,119,23,193.333,49.531,Rick Ware Racing,False,False,35,31,green
Michael McDowell,3832,Chv,71,118,24,193.326,49.533,Spire Motorsports,False,False,1,17,green
William Byron,4184,Chv,24,120,4,193.310,49.537,Hendrick Motorsports,True,False,13,25,green
Ty Gibbs,4368,Tyt,54,181,17,193.302,49.539,Joe Gibbs Racing,False,False,18,3,green
Bubba Wallace,4025,Tyt,23,181,8,193.302,49.539,23XI Racing,False,False,10,4,green
Chris Buescher,3989,Frd,17,181,5,193.271,49.547,RFK Racing,False,False,14,30,green
Chase Briscoe,4228,Tyt,19,185,3,193.263,49.549,Joe Gibbs Racing,True,False,2,1,green
John Hunter Nemechek,4092,Tyt,42,181,18,193.255,49.551,Legacy Motor Club,False,False,28,14,green
Carson Hocevar,4326,Chv,77,181,14,193.244,49.554,Spire Motorsports,False,False,32,6,green
Shane Van Gisbergen,4469,Chv,88,174,21,193.236,49.556,Trackhouse Racing,False,False,31,11,green
Christopher Bell,4153,Tyt,20,60,10,193.174,49.572,Joe Gibbs Racing,True,False,7,8,green
Riley Herbst,4269,Tyt,35,119,15,193.158,49.576,23XI Racing,False,False,9,32,green
Alex Bowman,4045,Chv,48,60,11,193.158,49.576,Hendrick Motorsports,False,False,11,29,green
Tyler Reddick,4065,Tyt,45,119,12,193.096,49.592,23XI Racing,False,False,15,7,green
Ryan Blaney,4023,Frd,12,119,7,193.092,49.593,Team Penske,True,False,8,23,green
Michael McDowell,3832,Chv,71,60,8,193.088,49.594,Spire Motorsports,False,False,1,17,green
Carson Hocevar,4326,Chv,77,60,9,193.065,49.600,Spire Motorsports,False,False,32,6,green
Cole Custer,4104,Frd,41,181,12,193.061,49.601,Haas Factory Team,False,False,12,5,green
Christopher Bell,4153,Tyt,20,119,5,193.061,49.601,Joe Gibbs Racing,True,False,7,8,green
Casey Mears,2215,Frd,66,181,23,193.057,49.602,Garage 66,False,False,40,18,green
Kyle Busch,454,Chv,8,181,15,193.057,49.602,Richard Childress Racing,False,False,3,19,green
William Byron,4184,Chv,24,60,13,193.041,49.606,Hendrick Motorsports,True,False,13,25,green
John Hunter Nemechek,4092,Tyt,42,119,10,193.041,49.606,Legacy Motor Club,False,False,28,14,green
Todd Gilliland,4231,Frd,34,50,22,193.041,49.606,Front Row Motorsports,False,False,27,2,green
Chris Buescher,3989,Frd,17,186,1,193.022,49.611,RFK Racing,False,False,14,30,green
Kyle Larson,4030,Chv,5,102,15,193.018,49.612,Hendrick Motorsports,True,False,19,26,green
Todd Gilliland,4231,Frd,34,119,8,193.010,49.614,Front Row Motorsports,False,False,27,2,green
Ryan Preece,4070,Frd,60,119,17,193.010,49.614,RFK Racing,False,False,5,15,green
Austin Hill,4133,Chv,33,193,22,193.002,49.616,Richard Childress Racing,False,True,33,22,pitting in
Zane Smith,4272,Frd,38,60,7,192.998,49.617,Front Row Motorsports,False,False,23,9,green
Tyler Reddick,4065,Tyt,45,181,9,192.991,49.619,23XI Racing,False,False,15,7,green
Ty Gibbs,4368,Tyt,54,177,17,192.991,49.619,Joe Gibbs Racing,False,False,18,3,green
Chris Buescher,3989,Frd,17,60,12,192.979,49.622,RFK Racing,False,False,14,30,green
Joey Logano,3859,Frd,22,60,6,192.975,49.623,Team Penske,True,False,16,16,green
Joey Logano,3859,Frd,22,183,25,192.975,49.623,Team Penske,True,False,16,16,green
Kyle Busch,454,Chv,8,180,18,192.971,49.624,Richard Childress Racing,False,False,3,19,green
John Hunter Nemechek,4092,Tyt,42,60,3,192.967,49.625,Legacy Motor Club,False,False,28,14,green
Chase Briscoe,4228,Tyt,19,119,1,192.967,49.625,Joe Gibbs Racing,True,False,2,1,green
Chris Buescher,3989,Frd,17,118,21,192.967,49.625,RFK Racing,False,False,14,30,green
Anthony Alfredo,4301,Chv,62,120,16,192.948,49.630,Beard Motorsports,False,True,38,21,green
Brad Keselowski,1816,Frd,6,186,21,192.932,49.634,RFK Racing,False,False,20,10,green
Kyle Larson,4030,Chv,5,60,14,192.921,49.637,Hendrick Motorsports,True,False,19,26,green
Ty Gibbs,4368,Tyt,54,186,6,192.921,49.637,Joe Gibbs Racing,False,False,18,3,green
Daniel Suarez,4113,Chv,99,60,15,192.905,49.641,Trackhouse Racing,False,False,26,12,green
Carson Hocevar,4326,Chv,77,119,3,192.905,49.641,Spire Motorsports,False,False,32,6,green
Alex Bowman,4045,Chv,48,102,18,192.905,49.641,Hendrick Motorsports,False,False,11,29,green
Shane Van Gisbergen,4469,Chv,88,181,22,192.886,49.646,Trackhouse Racing,False,False,31,11,green
Riley Herbst,4269,Tyt,35,60,17,192.874,49.649,23XI Racing,False,False,9,32,green
Bubba Wallace,4025,Tyt,23,60,5,192.866,49.651,23XI Racing,False,False,10,4,green
Joey Logano,3859,Frd,22,186,16,192.862,49.652,Team Penske,True,False,16,16,green
Carson Hocevar,4326,Chv,77,186,2,192.855,49.654,Spire Motorsports,False,False,32,6,green
Ross Chastain,4001,Chv,1,60,16,192.847,49.656,Trackhouse Racing,False,False,24,13,green
Daniel Suarez,4113,Chv,99,186,9,192.831,49.660,Trackhouse Racing,False,False,26,12,green
Ty Gibbs,4368,Tyt,54,119,6,192.831,49.660,Joe Gibbs Racing,False,False,18,3,green
Kyle Larson,4030,Chv,5,119,2,192.831,49.660,Hendrick Motorsports,True,False,19,26,green
William Byron,4184,Chv,24,119,4,192.820,49.663,Hendrick Motorsports,True,False,13,25,green
Cole Custer,4104,Frd,41,119,11,192.808,49.666,Haas Factory Team,False,False,12,5,green
Cole Custer,4104,Frd,41,102,23,192.800,49.668,Haas Factory Team,False,False,12,5,green
Joey Logano,3859,Frd,22,119,14,192.792,49.670,Team Penske,True,False,16,16,green
Bubba Wallace,4025,Tyt,23,118,26,192.785,49.672,23XI Racing,False,False,10,4,green
Ricky Stenhouse Jr.,3888,Chv,47,48,16,192.758,49.679,HYAK Motorsports,False,False,37,38,green
Zane Smith,4272,Frd,38,103,24,192.754,49.680,Front Row Motorsports,False,False,23,9,green
Kyle Larson,4030,Chv,5,180,2,192.754,49.680,Hendrick Motorsports,True,False,19,26,green
Alex Bowman,4045,Chv,48,119,9,192.754,49.680,Hendrick Motorsports,False,False,11,29,green
Austin Hill,4133,Chv,33,176,23,192.754,49.680,Richard Childress Racing,False,True,33,22,green
Ryan Blaney,4023,Frd,12,60,4,192.746,49.682,Team Penske,True,False,8,23,green
William Byron,4184,Chv,24,180,4,192.738,49.684,Hendrick Motorsports,True,False,13,25,green
Zane Smith,4272,Frd,38,119,21,192.726,49.687,Front Row Motorsports,False,False,23,9,green
Daniel Suarez,4113,Chv,99,50,20,192.723,49.688,Trackhouse Racing,False,False,26,12,green
Casey Mears,2215,Frd,66,179,25,192.715,49.690,Garage 66,False,False,40,18,green
Christopher Bell,4153,Tyt,20,180,6,192.711,49.691,Joe Gibbs Racing,True,False,7,8,green
Todd Gilliland,4231,Frd,34,180,1,192.703,49.693,Front Row Motorsports,False,False,27,2,green
Shane Van Gisbergen,4469,Chv,88,186,13,192.699,49.694,Trackhouse Racing,False,False,31,11,green
Alex Bowman,4045,Chv,48,50,14,192.695,49.695,Hendrick Motorsports,False,False,11,29,green
Daniel Suarez,4113,Chv,99,46,10,192.692,49.696,Trackhouse Racing,False,False,26,12,pitting in
AJ Allmendinger,3774,Chv,16,48,7,192.672,49.701,Kaulig Racing,False,False,34,37,green
Kyle Busch,454,Chv,8,178,23,192.668,49.702,Richard Childress Racing,False,False,3,19,green
John Hunter Nemechek,4092,Tyt,42,186,17,192.664,49.703,Legacy Motor Club,False,False,28,14,green
Tyler Reddick,4065,Tyt,45,60,2,192.649,49.707,23XI Racing,False,False,15,7,green
Michael McDowell,3832,Chv,71,180,17,192.645,49.708,Spire Motorsports,False,False,1,17,green
Ty Gibbs,4368,Tyt,54,48,11,192.630,49.712,Joe Gibbs Racing,False,False,18,3,green
John Hunter Nemechek,4092,Tyt,42,102,22,192.622,49.714,Legacy Motor Club,False,False,28,14,green
Casey Mears,2215,Frd,66,180,24,192.622,49.714,Garage 66,False,False,40,18,green
Carson Hocevar,4326,Chv,77,48,13,192.618,49.715,Spire Motorsports,False,False,32,6,pitting in
Bubba Wallace,4025,Tyt,23,48,17,192.614,49.716,23XI Racing,False,False,10,4,green
Chase Briscoe,4228,Tyt,19,180,8,192.595,49.721,Joe Gibbs Racing,True,False,2,1,green
Ryan Preece,4070,Frd,60,180,14,192.579,49.725,RFK Racing,False,False,5,15,green
Michael McDowell,3832,Chv,71,48,15,192.568,49.728,Spire Motorsports,False,False,1,17,green
Noah Gragson,4224,Frd,4,48,5,192.568,49.728,Front Row Motorsports,False,False,36,36,green
Daniel Suarez,4113,Chv,99,182,15,192.556,49.731,Trackhouse Racing,False,False,26,12,green
Shane Van Gisbergen,4469,Chv,88,182,18,192.552,49.732,Trackhouse Racing,False,False,31,11,green
Tyler Reddick,4065,Tyt,45,180,11,192.548,49.733,23XI Racing,False,False,15,7,green
Christopher Bell,4153,Tyt,20,181,7,192.533,49.737,Joe Gibbs Racing,True,False,7,8,green
Ty Dillon,4013,Chv,10,180,21,192.529,49.738,Kaulig Racing,False,False,29,20,green
Erik Jones,4059,Tyt,43,48,9,192.525,49.739,Legacy Motor Club,False,False,30,35,green
Bubba Wallace,4025,Tyt,23,176,17,192.521,49.740,23XI Racing,False,False,10,4,green
Cole Custer,4104,Frd,41,180,15,192.517,49.741,Haas Factory Team,False,False,12,5,green
Ryan Blaney,4023,Frd,12,180,7,192.506,49.744,Team Penske,True,False,8,23,green
Austin Dillon,3873,Chv,3,50,18,192.502,49.745,Richard Childress Racing,False,False,21,27,green
Ty Gibbs,4368,Tyt,54,182,12,192.498,49.746,Joe Gibbs Racing,False,False,18,3,green
William Byron,4184,Chv,24,181,3,192.498,49.746,Hendrick Motorsports,True,False,13,25,green
Kyle Larson,4030,Chv,5,181,1,192.494,49.747,Hendrick Motorsports,True,False,19,26,green
Brad Keselowski,1816,Frd,6,180,12,192.490,49.748,RFK Racing,False,False,20,10,green
Joey Logano,3859,Frd,22,180,9,192.490,49.748,Team Penske,True,False,16,16,green
Ross Chastain,4001,Chv,1,180,5,192.471,49.753,Trackhouse Racing,False,False,24,13,green
Kyle Larson,4030,Chv,5,118,1,192.459,49.756,Hendrick Motorsports,True,False,19,26,green
Cody Ware,4125,Frd,51,104,28,192.459,49.756,Rick Ware Racing,False,False,35,31,green
Carson Hocevar,4326,Chv,77,182,9,192.428,49.764,Spire Motorsports,False,False,32,6,green
John Hunter Nemechek,4092,Tyt,42,176,22,192.424,49.765,Legacy Motor Club,False,False,28,14,green
John Hunter Nemechek,4092,Tyt,42,48,12,192.417,49.767,Legacy Motor Club,False,False,28,14,green
Ty Gibbs,4368,Tyt,54,60,1,192.409,49.769,Joe Gibbs Racing,False,False,18,3,green
Shane Van Gisbergen,4469,Chv,88,176,19,192.405,49.770,Trackhouse Racing,False,False,31,11,green
Ryan Preece,4070,Frd,60,118,14,192.405,49.770,RFK Racing,False,False,5,15,green
Josh Berry,4123,Frd,21,48,10,192.401,49.771,Wood Brothers Racing,False,False,6,33,green
Austin Hill,4133,Chv,33,174,25,192.401,49.771,Richard Childress Racing,False,True,33,22,green
Tyler Reddick,4065,Tyt,45,48,14,192.397,49.772,23XI Racing,False,False,15,7,green
Riley Herbst,4269,Tyt,35,118,15,192.393,49.773,23XI Racing,False,False,9,32,green
Casey Mears,2215,Frd,66,182,19,192.378,49.777,Garage 66,False,False,40,18,green
Kyle Larson,4030,Chv,5,49,20,192.363,49.781,Hendrick Motorsports,True,False,19,26,green
William Byron,4184,Chv,24,118,3,192.355,49.783,Hendrick Motorsports,True,False,13,25,green
Michael McDowell,3832,Chv,71,179,21,192.355,49.783,Spire Motorsports,False,False,1,17,green
Carson Hocevar,4326,Chv,77,174,20,192.351,49.784,Spire Motorsports,False,False,32,6,green
Shane Van Gisbergen,4469,Chv,88,179,16,192.343,49.786,Trackhouse Racing,False,False,31,11,green
Daniel Suarez,4113,Chv,99,179,20,192.336,49.788,Trackhouse Racing,False,False,26,12,green
Cody Ware,4125,Frd,51,102,29,192.336,49.788,Rick Ware Racing,False,False,35,31,green
Ty Dillon,4013,Chv,10,182,23,192.324,49.791,Kaulig Racing,False,False,29,20,green
Austin Hill,4133,Chv,33,182,6,192.316,49.793,Richard Childress Racing,False,True,33,22,green
Michael McDowell,3832,Chv,71,47,23,192.312,49.794,Spire Motorsports,False,False,1,17,green
Ty Gibbs,4368,Tyt,54,118,5,192.293,49.799,Joe Gibbs Racing,False,False,18,3,green
Ty Dillon,4013,Chv,10,179,24,192.281,49.802,Kaulig Racing,False,False,29,20,green
Ross Chastain,4001,Chv,1,102,12,192.281,49.802,Trackhouse Racing,False,False,24,13,green
Cole Custer,4104,Frd,41,174,19,192.278,49.803,Haas Factory Team,False,False,12,5,green
Chase Briscoe,4228,Tyt,19,182,1,192.278,49.803,Joe Gibbs Racing,True,False,2,1,green
John Hunter Nemechek,4092,Tyt,42,118,11,192.266,49.806,Legacy Motor Club,False,False,28,14,green
Zane Smith,4272,Frd,38,180,3,192.266,49.806,Front Row Motorsports,False,False,23,9,green
Bubba Wallace,4025,Tyt,23,182,4,192.262,49.807,23XI Racing,False,False,10,4,green
John Hunter Nemechek,4092,Tyt,42,104,25,192.258,49.808,Legacy Motor Club,False,False,28,14,green
John Hunter Nemechek,4092,Tyt,42,174,24,192.239,49.813,Legacy Motor Club,False,False,28,14,green
Tyler Reddick,4065,Tyt,45,118,13,192.227,49.816,23XI Racing,False,False,15,7,green
Kyle Larson,4030,Chv,5,46,11,192.224,49.817,Hendrick Motorsports,True,False,19,26,pitting in
Erik Jones,4059,Tyt,43,47,17,192.216,49.819,Legacy Motor Club,False,False,30,35,green
Bubba Wallace,4025,Tyt,23,174,22,192.208,49.821,23XI Racing,False,False,10,4,green
Kyle Larson,4030,Chv,5,51,20,192.204,49.822,Hendrick Motorsports,True,False,19,26,green
